edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016660,546930298,N-99.8901547-20.3867520,N-99.8901636-20.3867295,0.006404,0.009222,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016661,546930298,N-99.8901636-20.3867295,N-99.8901277-20.3865500,0.048737,0.070182,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016662,546930298,N-99.8901277-20.3865500,N-99.8899931-20.3857153,0.225285,0.32441,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016663,546930299,N-99.8904236-20.3875635,N-99.8905047-20.3878425,0.07717,0.111126,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016664,546930299,N-99.8905047-20.3878425,N-99.8908318-20.3884786,0.188446,0.271362,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016665,546930300,N-99.8932089-20.3869866,N-99.8932274-20.3869827,0.004743,0.00683,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016666,546930301,N-99.8932274-20.3869827,N-99.8932922-20.3869734,0.016399,0.026894,0.16,candidate_open_with_delay,TH570904,True
MS-EDGE-0016667,546930302,N-99.8932922-20.3869734,N-99.8933103-20.3869689,0.004684,0.006745,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016668,546930303,N-99.8927791-20.3854068,N-99.8930817-20.3864787,0.295902,0.426098,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016669,546930303,N-99.8930817-20.3864787,N-99.8932089-20.3869866,0.139227,0.200487,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016670,546930303,N-99.8932089-20.3869866,N-99.8932340-20.3870605,0.020697,0.029804,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016671,546930303,N-99.8932340-20.3870605,N-99.8934697-20.3879868,0.254134,0.365953,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016672,546930303,N-99.8934697-20.3879868,N-99.8934987-20.3881502,0.044206,0.063656,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016673,546930303,N-99.8934987-20.3881502,N-99.8938527-20.3895240,0.377166,0.543119,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016674,546930303,N-99.8938527-20.3895240,N-99.8937998-20.3896377,0.033103,0.047668,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016675,546930304,N-99.8931436-20.3845125,N-99.8933859-20.3844228,0.065168,0.093843,0.11,candidate_open_with_delay,TH570904,False
